Time:ulong,Current:uinteger,Voltage:uinteger
"8385128000","1249800","3276"
"8386207000","1249800","3276"
"8387540000","1249800","3276"
"8388619000","1249800","3276"
"8389698000","1249800","3276"
"8390777000","1249800","3276"
"8391856000","1249800","3276"
"8393195000","1249800","3276"
"8394274000","1249800","3275"
"8395352000","1259100","3275"
"8396431000","1259100","3275"
"8397509000","1259100","3275"
"8398842000","1259100","3275"
"8399921000","1259100","3275"
"8400999000","1259100","3275"
"8402083000","1259100","3275"
"8403161000","1259100","3275"
"8404495000","1259100","3275"
"8405574000","1259100","3275"
"8406652000","1259100","3275"
"8407730000","1250600","3275"
"8408809000","1250600","3275"
"8410144000","1250600","3275"
"8411223000","1250600","3275"
"8412307000","1250600","3275"
"8413385000","1250600","3275"
"8414464000","1250600","3275"
"8415798000","1250600","3275"
"8416876000","1250600","3275"
"8417955000","1250600","3275"
"8419032000","1250600","3275"
"8420111000","1259700","3275"
"8421444000","1259700","3275"
"8422528000","1259700","3275"
"8423607000","1259700","3275"
"8424685000","1259700","3275"
"8425763000","1259700","3275"
"8427102000","1259700","3275"
"8428181000","1259700","3275"
"8429259000","1259700","3275"
"8430337000","1259700","3275"
"8431416000","1259700","3275"
"8432754000","1315900","3275"
"8433833000","1315900","3275"
"8434911000","1315900","3275"
"8435989000","1315900","3275"
"8437068000","1315900","3275"
"8438402000","1315900","3275"
"8439480000","1315900","3275"
"8440559000","1315900","3275"
"8441637000","1315900","3275"
"8442722000","1510200","3275"
"8444055000","1510200","3275"
"8445134000","1510200","3275"
"8446212000","1510200","3275"
"8447291000","1510200","3275"
"8448370000","1510200","3275"
"8449704000","1510200","3275"
"8450782000","1510200","3275"
"8451860000","1510200","3275"
"8452944000","1483500","3275"
"8454022000","1483500","3275"
"8455356000","1483500","3275"
"8456435000","1483500","3275"
"8457513000","1483500","3275"
"8458592000","1483500","3275"
"8459670000","1483500","3275"
"8461004000","1483500","3275"
"8462089000","1483500","3275"
"8463168000","1471900","3275"
"8464247000","1471900","3275"
"8465326000","1471900","3276"
"8466659000","1471900","3276"
"8467738000","1471900","3276"
"8468816000","1471900","3276"
"8469900000","1471900","3276"
"8470979000","1471900","3276"
"8472318000","1471900","3276"
"8473396000","1471900","3276"
"8474475000","1421800","3276"
"8475554000","1421800","3276"
"8476633000","1421800","3276"
"8477908000","1421800","3276"
"8479044000","1421800","3276"
"8480123000","1421800","3276"
"8481202000","1421800","3276"
"8482286000","1421800","3276"
"8483621000","1421800","3276"
"8484700000","1421800","3276"
"8485778000","1421800","3276"
"8486857000","1287700","3276"
"8487936000","1287700","3276"
"8489269000","1287700","3276"
"8490348000","1287700","3276"
"8491426000","1287700","3276"
"8492510000","1287700","3276"
"8493589000","1287700","3276"
"8494922000","1287700","3276"
"8496002000","1287700","3276"
"8497080000","1506200","3276"
"8498158000","1506200","3276"
"8499237000","1506200","3276"
"8500569000","1506200","3276"
"8501648000","1506200","3276"
"8502732000","1506200","3276"
"8503811000","1506200","3275"
"8504889000","1506200","3275"
"8506223000","1506200","3276"
"8507301000","1608500","3276"
"8508380000","1608500","3276"
"8509459000","1608500","3276"
"8510538000","1608500","3276"
"8511818000","1608500","3276"
"8512960000","1608500","3276"
"8514039000","1608500","3276"
"8515118000","1608500","3276"
"8516196000","1608500","3275"
"8517530000","1608500","3275"
"8518608000","1411600","3275"
"8519688000","1411600","3275"
"8520766000","1411600","3275"
"8521844000","1411600","3275"
"8523184000","1411600","3275"
"8524263000","1411600","3275"
"8525341000","1411600","3275"
"8526420000","1411600","3275"
"8527498000","1411600","3275"
"8528833000","1411600","3275"
"8529911000","1411600","3275"
"8530990000","1411600","3275"
"8532073000","1411600","3275"
"8533152000","1078100","3275"
"8534485000","1078100","3275"
"8535563000","1078100","3275"
"8536642000","1078100","3275"
"8537720000","1078100","3275"
"8538798000","1078100","3275"
"8540133000","1078100","3275"
"8541211000","1078100","3275"
"8542295000","1078100","3275"
"8543373000","1078100","3275"
"8544452000","1078100","3275"
"8545728000","1078100","3275"
"8546866000","1078100","3275"
"8547943000","1130400","3275"
"8549022000","1130400","3275"
"8550101000","1130400","3275"
"8551434000","1130400","3275"
"8552519000","1130400","3276"
"8553603000","1130400","3276"
"8554682000","1130400","3276"
"8555760000","1130400","3276"
"8557095000","1874500","3276"
"8558174000","1874500","3276"
"8559253000","1874500","3276"
"8560332000","1874500","3276"
"8561410000","1874500","3276"
"8562750000","1874500","3276"
"8563827000","1874500","3276"
"8564906000","1874500","3276"
"8565986000","1864600","3276"
"8567065000","1864600","3276"
"8568398000","1864600","3276"
"8569477000","1864600","3276"
"8570555000","1864600","3276"
"8571634000","1864600","3276"
"8572718000","1864600","3276"
"8574051000","1864600","3276"
"8575130000","1864600","3276"
"8576209000","1528800","3276"
"8577287000","1528800","3276"
"8578365000","1528800","3276"
"8579699000","1528800","3276"
"8580777000","1528800","3276"
"8581856000","1528800","3276"
"8582939000","1528800","3276"
"8584018000","1528800","3276"
"8585353000","1528800","3276"
"8586432000","1528800","3276"
"8587511000","1528800","3276"
"8588589000","1250400","3276"
"8589667000","1250400","3276"
"8591001000","1250400","3276"
"8592084000","1250400","3276"
"8593162000","1250400","3276"
"8594242000","1250400","3276"
"8595325000","1250400","3276"
"8596660000","1250400","3276"
"8597738000","1250400","3276"
"8598818000","1250400","3276"
"8599896000","1250400","3276"
"8600974000","1259300","3276"
"8602314000","1259300","3276"
"8603393000","1259300","3276"
"8604472000","1259300","3276"
"8605551000","1259300","3276"
"8606628000","1259300","3276"
"8607962000","1259300","3276"
"8609042000","1259300","3276"
"8610120000","1259300","3276"
"8611198000","1259300","3276"
"8612282000","1259300","3276"
"8613615000","1251900","3276"
"8614694000","1251900","3276"
"8615772000","1251900","3276"
"8616851000","1251900","3276"
"8617930000","1251900","3276"
"8619264000","1251900","3276"
"8620342000","1251900","3276"
"8621420000","1251900","3276"
"8622504000","1251900","3276"
"8623583000","1251900","3276"
"8624916000","1251900","3276"
"8625995000","1250400","3276"
"8627074000","1250400","3276"
"8628153000","1250400","3276"
"8629230000","1250400","3276"
"8630565000","1250400","3276"
"8631642000","1250400","3276"
"8632727000","1250400","3276"
"8633805000","1250400","3276"
"8634883000","1250400","3276"
"8636217000","1250400","3276"
"8637300000","1250400","3276"
"8638378000","1306300","3276"
"8639457000","1306300","3276"
"8640536000","1306300","3276"
"8641870000","1306300","3276"
"8642954000","1306300","3276"
"8644033000","1306300","3276"
"8645111000","1306300","3276"
"8646189000","1306300","3276"
"8647522000","1306300","3275"
"8648601000","1517600","3275"
"8649678000","1517600","3276"
"8650757000","1517600","3276"
"8651836000","1517600","3276"
"8653175000","1517600","3276"
"8654254000","1517600","3276"
"8655333000","1517600","3276"
"8656410000","1517600","3276"
"8657490000","1517600","3276"
"8658823000","1483500","3275"
"8659900000","1483500","3275"
"8660979000","1483500","3275"
"8662063000","1483500","3275"
"8663141000","1483500","3275"
"8664475000","1483500","3275"
"8665553000","1483500","3275"
"8666632000","1483500","3275"
"8667711000","1483500","3275"
"8668790000","1483500","3275"
"8670124000","1484200","3275"
"8671202000","1484200","3275"
"8672286000","1484200","3275"
"8673365000","1484200","3275"
"8674444000","1484200","3275"
"8675778000","1484200","3275"
"8676857000","1484200","3275"
"8677936000","1484200","3275"
"8679020000","1484200","3275"
"8680098000","1484200","3275"
"8681432000","1390900","3275"
"8682517000","1390900","3275"
"8683595000","1390900","3275"
"8684674000","1390900","3276"
"8685753000","1390900","3276"
"8687087000","1390900","3276"
"8688166000","1390900","3276"
"8689246000","1390900","3276"
"8690323000","1390900","3276"
"8691402000","1390900","3276"
"8692741000","1390900","3276"
"8693820000","1315100","3276"
"8694898000","1315100","3276"
"8695978000","1315100","3276"
"8697056000","1315100","3276"
"8698391000","1315100","3276"
"8699470000","1315100","3276"
"8700548000","1315100","3276"
"8701627000","1315100","3276"
"8702712000","1315100","3276"
"8704046000","1505700","3276"
"8705125000","1505700","3277"
"8706204000","1505700","3277"
"8707283000","1505700","3277"
"8708361000","1505700","3276"
"8709695000","1505700","3276"
"8710774000","1505700","3276"
"8711854000","1505700","3276"
"8712938000","1505700","3276"
"8714017000","1614500","3276"
"8715351000","1614500","3277"
"8716430000","1614500","3277"
"8717508000","1614500","3277"
"8718587000","1614500","3277"
"8719666000","1614500","3277"
"8721004000","1614500","3277"
"8722089000","1614500","3277"
"8723168000","1614500","3277"
"8724245000","1614500","3277"
"8725324000","1391000","3277"
"8726658000","1391000","3277"
"8727737000","1391000","3277"
"8728815000","1391000","3277"
"8729894000","1391000","3277"
"8730972000","1391000","3277"
"8732312000","1391000","3277"
"8733390000","1391000","3277"
"8734469000","1391000","3276"
"8735548000","1391000","3276"
"8736627000","1391000","3276"
"8737960000","1391000","3276"
"8739038000","1391000","3276"
"8740117000","1051900","3276"
"8741195000","1051900","3276"
"8742280000","1051900","3276"
"8743614000","1051900","3276"
"8744693000","1051900","3276"
"8745772000","1051900","3276"
"8746849000","1051900","3276"
"8747928000","1051900","3276"
"8749260000","1051900","3276"
"8750338000","1051900","3276"
"8751417000","1051900","3276"
"8752501000","1051900","3276"
"8753580000","1131400","3276"
"8754856000","1131400","3276"
"8755992000","1131400","3276"
"8757071000","1131400","3276"
"8758149000","1131400","3276"
"8759228000","1131400","3276"
"8760505000","1131400","3276"
"8761641000","1131400","3276"
"8762730000","1861900","3276"
"8763809000","1861900","3276"
"8764888000","1861900","3276"
"8766222000","1861900","3276"
"8767300000","1861900","3276"
"8768380000","1861900","3276"
"8769459000","1861900","3276"
"8770537000","1861900","3276"
"8771871000","1876700","3276"
"8772956000","1876700","3276"
"8774034000","1876700","3276"
"8775112000","1876700","3276"
"8776190000","1876700","3276"
"8777525000","1876700","3276"
"8778604000","1876700","3276"
"8779682000","1876700","3276"
"8780761000","1876700","3276"
"8781839000","1545000","3276"
"8783177000","1545000","3276"
"8784256000","1545000","3276"
"8785335000","1545000","3276"
"8786414000","1545000","3276"
"8787491000","1545000","3276"
"8788826000","1545000","3276"
"8789904000","1545000","3276"
"8790983000","1545000","3276"
"8792067000","1545000","3276"
"8793146000","1545000","3276"
"8794478000","1252000","3276"
"8795557000","1252000","3277"
"8796635000","1252000","3277"
"8797714000","1252000","3276"
"8798791000","1252000","3276"
"8800126000","1252000","3276"
"8801203000","1252000","3276"
"8802288000","1252000","3276"
"8803365000","1252000","3276"
"8804444000","1252000","3276"
"8805782000","1252000","3276"
"8806861000","1250100","3276"
"8807939000","1250100","3276"
"8809018000","1250100","3276"
"8810096000","1250100","3276"
"8811431000","1250100","3276"
"8812514000","1250100","3276"
"8813593000","1250100","3276"
"8814672000","1250100","3276"
"8815751000","1250100","3276"
"8817084000","1250100","3276"
"8818163000","1250100","3276"
"8819241000","1250400","3276"
"8820320000","1250400","3276"
"8821399000","1250400","3276"
"8822738000","1250400","3276"
"8823816000","1250400","3276"
"8824894000","1250400","3276"
"8825972000","1250400","3276"
"8827051000","1250400","3276"
"8828384000","1250400","3275"
"8829461000","1250400","3275"
"8830540000","1250400","3275"
"8831619000","1260000","3275"
"8832704000","1260000","3275"
"8834039000","1260000","3275"
"8835117000","1260000","3275"
"8836195000","1260000","3275"
"8837274000","1260000","3275"
"8838352000","1260000","3275"
"8839685000","1260000","3275"
"8840764000","1260000","3275"
"8841842000","1260000","3275"
"8842926000","1260000","3275"
"8844005000","1287300","3275"
"8845339000","1287300","3275"
"8846417000","1287300","3275"
"8847500000","1287300","3275"
"8848579000","1287300","3275"
"8849658000","1287300","3275"
"8850992000","1287300","3275"
"8852076000","1287300","3275"
"8853154000","1287300","3275"
"8854233000","1539400","3275"
"8855312000","1539400","3275"
"8856646000","1539400","3275"
"8857725000","1539400","3275"
"8858803000","1539400","3275"
"8859881000","1539400","3275"
"8860960000","1539400","3275"
"8862299000","1539400","3275"
"8863378000","1539400","3275"
"8864457000","1471900","3276"
"8865536000","1471900","3276"
"8866615000","1471900","3276"
"8867950000","1471900","3276"
"8869029000","1471900","3276"
"8870108000","1471900","3276"
"8871187000","1471900","3276"
"8872271000","1471900","3276"
"8873605000","1471900","3276"
"8874683000","1483000","3276"
"8875761000","1483000","3277"
"8876841000","1483000","3276"
"8877919000","1483000","3277"
"8879253000","1483000","3277"
"8880332000","1483000","3277"
"8881410000","1483000","3277"
"8882495000","1483000","3277"
"8883573000","1483000","3277"
"8884907000","1483000","3277"
"8885986000","1432600","3277"
"8887065000","1432600","3277"
"8888143000","1432600","3277"
"8889226000","1432600","3277"
"8890561000","1432600","3277"
"8891640000","1432600","3277"
"8892725000","1432600","3277"
"8893804000","1432600","3277"
"8894882000","1432600","3276"
"8896215000","1432600","3276"
"8897294000","1432600","3276"
"8898372000","1287300","3276"
"8899451000","1287300","3276"
"8900530000","1287300","3276"
"8901865000","1287300","3276"
"8902949000","1287300","3276"
"8904028000","1287300","3276"
"8905107000","1287300","3276"
"8906185000","1287300","3276"
"8907518000","1287300","3277"
"8908597000","1494400","3277"
"8909676000","1494400","3277"
"8910755000","1494400","3276"
"8911833000","1494400","3276"
"8913173000","1494400","3276"
"8914251000","1494400","3276"
"8915330000","1494400","3276"
"8916409000","1494400","3276"
"8917488000","1494400","3276"
"8918821000","1608100","3276"
"8919900000","1608100","3276"
"8920979000","1608100","3276"
"8922063000","1608100","3276"
"8923141000","1608100","3276"
"8924474000","1608100","3276"
"8925553000","1608100","3276"
"8926632000","1608100","3276"
"8927710000","1608100","3275"
"8928789000","1608100","3275"
"8930122000","1433000","3275"
"8931205000","1433000","3275"
"8932290000","1433000","3275"
"8933369000","1433000","3275"
"8934446000","1433000","3275"
"8935781000","1433000","3275"
"8936859000","1433000","3275"
"8937938000","1433000","3275"
"8939016000","1433000","3275"
"8940094000","1433000","3275"
"8941429000","1433000","3275"
"8942513000","1433000","3275"
"8943591000","1433000","3275"
"8944669000","1077800","3275"
"8945747000","1077800","3275"
"8947082000","1077800","3275"
"8948160000","1077800","3275"
"8949239000","1077800","3275"
"8950317000","1077800","3275"
"8951397000","1077800","3276"
"8952678000","1077800","3276"
"8953813000","1077800","3276"
